Job Title,Perusahaan,Lokasi,Status Pekerjaan,Gaji,Description and Requirement,Bidang Pekerjaan
Fullstack Developer (ITOMMEY Group),Company Confidential,Jakarta Raya,Penuh waktu,,"Job description & requirements
🙌🏻 About Us
Companies are moving towards the digital era. With that, IT Organizations are racing to be the enabler for all digital services supporting the business. We are here to help companies shape their IT Organization to be ready to adapt all the technologies required for digital transformation. We're here not only to be your vendor, but we will be your trustworthy professional partner and your reinforcement to face all the challenges in digital technology. We're equipped with experienced professional people, great technologies also strong with knowledge of IT digital architecture and process.
💰Salary
Rp 6,000,000 - 8,000,000
👑 Job Role

Work with developers to design algorithms and flowcharts
 Produce clean, efficient code based on specifications
 Integrate software components and third-party programs
 Verify and deploy programs and systems
 Troubleshoot, debug and upgrade existing software
 Gather and evaluate user feedback
 Recommend and execute improvements
 Create technical documentation for reference and reporting

⛩️ Requirements

Bachelor Degree (S1) Degree in Technology/Technical/lnformation System/ Other related educations.
 Min 1 years working experience as a Software Engineer, Back End or Similar role is a must!
 Familiarity with Sprint or Agile development methodologies
 Experience with software design and development
 Knowledge of frameworks/systems (e.g. NodeJS, ExpressJS, etc)
 Have deep SQL skills for Sql Server/Mysql/PostgreSql etc
 Ability to learn new languages and technologies
 Good communication skills
 Resourcefulness and troubleshooting aptitude
 Attention to detail

🎁 Perks

Competitive Salary
 Medical Insurance
 THR / Bonus system

Skills

Web Development
SQL
Software Development

Culture
Check out more here - https://talent.usedeall.com/
About the company
Deall is a curated job portal, where only the talents we have curated can apply to vacancies.",Developer/Programmer (Teknologi Informasi & Komunikasi)
Graphic Designer,PT Purwadhika Kirana Nusantara,"Tangerang District, Banten",Penuh waktu,,"Job description & requirements
Purwadhika is now looking for Graphic Designer who wants to join our team and grow with us. If you are looking the opportunity to make an impact by sharing your passion and make a better life for others, this one is match for you!

About Us
Purwadhika (www.purwadhika.com) is one of the leading educational institutions in Indonesia with a focus on digital technology education. We have a featured program named Job Connector, Executive Program, Corporate Training, International Program, in Data Science, UI/UX Design, Digital Marketing, and Full Stack Web Development.
Job Requirements :

Min 1+ experience as a Graphic Designer
 Expert using Adobe Photoshop, Adobe Illustrator, Adobe InDesign
 Excellent Design and Typography Skills
 Passionate about design
 Attention to detail
 Able to work under pressure and tight deadlines
 Quick, Confidence, Good Communication and Discipline

Job Description :
We are seeking a talented and creative Graphic Designer to join our team As a Graphic Designer, you will be responsible for creating visual content that communicates our brand's message and captivates our target audience. You will work on a wide range of projects, from print materials to digital assets, with a primary focus on Branding, Social Media Design, and Collateral Design
Skills

Graphic Design
Design Thinking
Brand & Identity Design
Adobe Indesign

Culture
Purwadhika Digital Technology School is one of the pioneers of educational institutions in Indonesia that focuses on the world of digital technology education. The long journey has been a testament to our commitment to always do the best. Best of all, best of anyone.
Currently, through our educational programs, Purwadhika has given birth to new talents in the digital field who are ready to contribute to the Indonesian technology industry and globally.
As Purwadhika Heroes, we are innovative, passionate, fast paced, progressive and adaptable.
Benefits and perks of working with us include:
Compensation: Competitive salaries
Lifestyle: Casual dress code, company outings, weekly sports, internal events
Welfare: Health insurance

About the company",Desain Graifs (Desain & Arsitektur)
Associate Product Manager - Loyalty,PT Trinusa Travelindo,Jakarta Raya,Penuh waktu,,"It's fun to work in a company where people truly BELIEVE in what they're doing!
‎ 
Job Description
Associate Product Manager (APM) role at Traveloka provides a unique opportunity to be at the center of building the next generation of Traveloka products. It’s a blend of technical, creative, analytical, and leadership role in driving successful products or features from conception to completion. You will be responsible for researching, defining, prototyping, and driving the construction, as well as managing communication with engineering, design, marketing, sales, finance, and operations stakeholders, and sometimes external contacts to ensure smooth delivery of the project. Throughout your time as an APM, you will learn and grow at a tremendous pace through hands-on experience and one-on-one coaching from senior product leaders.
Industry Knowledge & Business Strategy

Able to independently do complex analysis, identify additional relevant data point and extract insight to obtain understanding of the competitive landscape, customers, product metrics, and latest trend; 
Translate that into opportunities / new ideas that will help grow market share, improve user experience and drive growth & retention

Product Management

Translate product strategy into product plan, detailed requirements and prototypes
Scope and prioritize activities based on business and customer impact
Work closely with engineering, design, marketing, sales, finance, operations and external stakeholders to implement new features and enhancements
Act as a product evangelist to build awareness and understanding

Monitoring & Continuous Improvement

Monitor the key metrics of the products / features owned by the person
Work closely with data team in conducting regular analysis and deep dive on the products / features’ performance
Identify issues and improvement opportunities that can push the products / features’ performance forward

‎ 
Requirements

At least 2 years of experience at top tier multinational tech or engineering firms, multinational banks, or a credible and strong track record in building or growing a business.
At least Bachelor's degree from top local or overseas universities with strong academic results. Background in Computer Science, Engineering, Finance, Design, or other technical fields, or Business is an advantage.
Solid technical background with understanding and/or hands-on experience in software development and web technologies; with aptitude towards solving complex problems.
Excellent analytical and problem-solving skills and strong intuitions of user behaviors.
A strong drive to make things happen, charisma, and ability to influence in a multicultural setting.
Team player with proven abilities to navigate stakeholders to deliver outcomes.
Passion in making the world better through technology.

‎ 
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",Manajemen & Pengembangan Produk (Teknologi Informasi & Komunikasi)
Software Engineer (Web) (Ukirama),Company Confidential,Jakarta Raya,Penuh waktu,,"Job description & requirements
🙌🏻 About Us
UKIRAMA is a company with a bunch of passionate and humble professionals who are continuously striving to provide the best business solution utilizing state-of-the-art software to solve real world business problems. We provide Enterprise Resource Planning (ERP) for companies. 
💰Salary
Very competitive
👑 Job Role

Designing and writing high-quality, easy-to-read, and testable Web Application code
 Working closely with our web development team and Business Analyst to develop new functionalities in our product
 Demonstrate technical analysis capability
 Be accountable and responsible for deliverables
 Contribute to Front-end and Back-end software development

⛩️ Requirements

Applicants must possess a Bachelor's Degree: Computer Science, Information Technology, Engineering (Computer / Software), or equivalent with a minimum GPA of 3.00
 Having 0-2 years of working experience
 Fresh graduates are welcome to apply
 Passionate in Web and Application Development
 Understanding of basic programming fundamentals (Object Oriented Programming, Algorithms, Data structures, Database Design)
 Understanding of Web Application Development and Frameworks (PHP/Java/.NET/Ruby; Javascript - AngularJS, VueJs, React; HTML5 CSS)
 Understanding of Database Systems
 Good understanding of Software Design Patterns
 High level of integrity and ethics
 Fast learner with strong analytical and good problem-solving skills
 Comfortable with ambiguity and failure, as well as rapid iteration

🎁 Perks

THR / Bonus system
 Period Leave
 Casual Dress Code
 Competitive Salary
 Medical Insurance
 Free Food / Snacks
 Team Building Activity
 Company Outings

Skills

Full-stack Web Development
Problem Solving
Web Development

Culture
Check out more here - https://talent.usedeall.com/
About the company
Deall is a curated job portal, where only the talents we have curated can apply to vacancies.",Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
Senior Associate Product Manager - Platform,PT Trinusa Travelindo,Jakarta Raya,Penuh waktu,,"It's fun to work in a company where people truly BELIEVE in what they're doing!
‎ 
‎ 
Job Description

Define product roadmap and strategy to address user needs and achieve business goals. 
Define business KPIs and success metrics and is accountable to measure product success and contributions.
Understand user needs and translate those into product requirements by taking into consideration the business goals, development cost & technical debt that might incur.
Build relationships with stakeholders across the organization to understand and prioritize needs across use cases and also short & long-term time horizons.
Work with cross-functional teams on the ideation, research, design, development and launch of user-centric products. 
Plan and manage multiple projects based on the level of urgency and importance of the projects.
Leveraging experiments, quantitative and qualitative user insights to make data-informed and data-driven decisions.
Communicate well and influence stakeholders to prioritize their works in the interest of shared benefits or agreed business needs.
Provide recommendations on business process improvement and operational guidelines.

‎ 
Requirements

At least 3 years of experience at top-tier multinational tech or engineering firms, multinational banks, or a credible and strong track record in supporting building or growing a business.
At least a Bachelor's degree in Engineering, Computer Science, Finance, Design, or other fields from top local or overseas universities with strong academic results, MBA is a plus.
Solid technical background with understanding and/or hands-on experience in software development and web technologies; with an aptitude towards solving complex problems.
Excellent analytical and problem-solving skills and strong intuitions of user behaviors. Have a strong willingness to learn and adapt to change quickly.
Self-starter with a strong sense of curiosity, strong ownership, a bias for action, and a can-do attitude.
Experienced in breaking down needs into product requirements and communicating them to the respective functions like engineers, design, or data team.
Able to highly collaborate with cross-functional teams with proven abilities to navigate stakeholders to deliver outcomes.
Able to communicate in English and Indonesia, via a verbal and written medium.
Passion for making the world better through technology. Enjoy working in a technical and data-centric context.
 

‎ 
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",Manajemen & Pengembangan Produk (Teknologi Informasi & Komunikasi)
SALES MARKETING,I CAN READ,"Jakarta Utara, Jakarta Raya",Penuh waktu,,"We are actively looking for a highly motivated and results-driven Sales and Marketing professional to join our growing team. In this role, you will play a crucial part in boosting revenue and increasing brand awarenessJob DescriptionCreate sales strategies and promotional activitiesAttend, respond and manage customer enquiries and requests.Provide excellent customer service and dealing with customer.Must be able to meet sales KPI with team.Create and publish content on all social media platforms, including Instagram and Facebook, to grow an audience, build brand awareness, and ultimately, boost sales.Source advertising opportunities and place adverts online and in printsProduce creative content, including photos and videosWork closely with I CAN READ HQ marketing team in maintaining all marketing assets (online and offline) or external creative agenciesOrganize events and product exhibitionsUpdate databases and monitor marketing performance of the centreLiaise with internal and external teams to ensure that tasks are completed, and programmes are delivered on timeRequirementBachelor’s degree in Communications or similar relevant fieldGood knowledge in handling social media platformsGood teamwork skills, communication skills and networking abilityGood English skills (oral and written)Creativity and writing skillsStrong attention to detailGood organization and planning skillsCommercial awarenessData management skillsExperiance 2 years Benefit :Monthly SalaryMonthly IncentiveHoliday Allowance (THR) Work Location :ICR JABODETABEK",Asisten Ritel (Ritel & Produk Konsumen)
Sales / Marketing senior staff,PT Permata Maju Abadi,"Jakarta Utara, Jakarta Raya",Kontrak,,"Kualifikasi:Pengalaman kerja minimal lebih dari 5 tahunS1Bahasa Inggris Aktifmenguasai Windows , Excel dan PersentasiKemampuan AnalisaJujur dan berintegritas Tinggipernah bekerja di perusahaan transportasi , pergudangan , freight forwarding",Manajemen Akun & Relasi (Penjualan)
Marketing Export,PT Manggala Furniture Indonesia,"Klaten, Jawa Tengah",Kontrak,"Rp 5,500,000 – Rp 8,250,000 per month","KualifikasiUsia max 40 thPendidikan minimal D3 semua jurusanJujur, Disiplin, dan Bertanggung JawabBerpenampilan rapi, menarik dan customer orientedMahir berbahasa inggris (lisan & tulisan)Memiliki skill komunikasi dan presentasi yang baikPengalaman linier minimal 1 th di bidang expor mebel/furnitureMampu bekerja secara team/individuMemiliki jaringan atau relasi yang luasMemiliki kemampuan dalam menggunakan Ms OfficeTugas & Tanggung Jawab :Menganalisis kebutuhan pasar, dan melakukan koordinasi secara rutin dengan direksi & department lainnyaMempelajari, mencari dan membuka peluang pasar baru di luar negeri.Mencapai penambahan buyer export baru secara tepat dan efektif.Membantu buyer terkait informasi produk, dokumen registrasi produk dan dokumen lainnya serta menangani keluhan buyer secara cepat & tepatMelakukan penawaran kepada klien baru maupun lamaMelakukan presentasi / meeting dengan buyer atau calon buyer.Mempertahankan hubungan baik dengan buyer.Customer Satisfaction & Target Oriented.",Asisten/Koordinator Pemasaran (Pemasaran & Komunikasi)
Digital Marketing Leader,Evolusi 3D,"Tangerang, Banten",Penuh waktu,"Rp 4,500,000 – Rp 6,500,000 per month","PT. Evolusi Kreasi Indonesia - Evolusi 3DSejak 2018, Evolusi 3D sebagai Konsultan 3D Technology yang berfokus untuk membuat pekerjaan lebih mudah, lebih cepat dan lebih presisi di berbagai industri dengan implementasi teknologi 3D Scanning, 3D Printing, dan 3D Software.

Dengan misi memberikan dampak positif kepada masyarakat indonesia menggunakan 3D Technology, Kami menjadi Top 5 Company dari Merry Riana Entrepreneur Award dalam kategori Positive Impact, kami pun merupakan Siemens Strategic Partner untuk software Solid Edge Indonesia

DIGITAL MARKETING LEADERSebagai Marketing Leader di Evolusi 3D, Anda bertanggung jawab untuk mengembangkan dan mengimplementasikan strategi pemasaran digital yang efektif untuk meningkatkan kesadaran dan ketertarikan masyarakat terhadap teknologi 3D yang ditawarkan oleh Evolusi 3D.

Anda akan memimpin tim digital yang terdiri dari spesialis di bidangnya masing-masing. Kesuksesan Anda akan dinilai dengan peningkatan konversi leads per bulan yang datang melalui media digital.

Oleh karena itu, Anda harus memiliki pemahaman yang mendalam tentang industri teknologi 3D, serta keterampilan kepemimpinan dan manajemen yang kuat.

Tanggung JawabMengembangkan dan mengimplementasikan strategi pemasaran digital yang efektif untuk meningkatkan kesadaran dan ketertarikan masyarakat terhadap teknologi 3DMemimpin tim digital yang terdiri dari spesialis di bidangnya masing-masingMelakukan analisis data dan mengukur efektivitas kampanye pemasaran digitalMembangun hubungan dengan influencer dan mediaBerkolaborasi dengan tim lain di dalam perusahaan untuk mengembangkan strategi pemasaran Kualifikasi:Memiliki pemahaman dan ketertarikan yang mendalam tentang industri teknologi 3DMemiliki keterampilan kepemimpinan, manajemen, dan komunikasi yang kuatMampu bekerja secara mandiri dan sebagai bagian dari timMemiliki kemampuan untuk berpikir strategis dan analitis Kemampuan dalam pengambilan keputusan desain yang kuatKemampuan menulis copy yang efektif BONUS:
Mendapatkan tambahan sesuai dengan performa yang dihasilkanFasilitas- Tersedia Dorm untuk tempat Tinggal untuk anda yang tinggal jauh dari jakarta.
- Kesempatan Training dan Pengembangan diri
 It Doesn't Matter your Background! We Value Your Skill and Integrity!",Pemasaran Digital & Pencarian (Pemasaran & Komunikasi)
Marketing Communication & Promotion,PT Master Mat Indonesia,"Surabaya, Jawa Timur",Kontrak,,"Anda terbiasa berkomunikasi di media sosial untuk membangun brand suatu produk?Anda terbiasa untuk melakukan event-event online/offline yang dapat membangun brand awareness suatu produk?Jika iya, maka anda tepat untuk mengisi jabatan yang kami butuhkan saat ini sebagai Marketing Communication & Promotion di PT Master Mat Indonesia. Deskripsi PekerjaanPaham, mampu dan berpengalaman dalam merancang, mengelola atau menjalankan suatu event/project BTLMelakukan kunjungan & branding ke toko/agen/retail.Melakukan evaluasi event atau branding atau project marketing secara berkalaMenjalin hubungan baik dengan pihak eksternal yang berhubungan dengan marketing (media, vendor, komunitas, dll)Bertanggung jawab terhadap materi promosi. Melakukan analisis situasi pasar dan analisis kompetitor. Kualifikasi :Usia maksimal 35 tahunPendidikan Diploma atau Sarjana semua jurusan  (lebih disukai dari jurusan Marketing Management, Public Relation, Communication)Memiliki pengalaman selama minimal 1 tahun dalam Public Relation, Digital dan Brand Activation (offline / online)Aktif & paham penguasaan seluruh channel media sosialPekerja keras, aktif, kreatif, mampu bekerja secara tim, multitasking dan penuh inisiatifMemiliki kepribadian menyenangkan, senang bersosialisasi, berpikir analistis dan percaya diriFasih berbahasa Inggris dan mahir dalam komputer (Program Ms. Office)Bersedia melakukan perjalanan dinas Jangan sia-siakan kesempatan ini, segera Take Action dan bergabung bersama kami.Note :Hanya pelamar yang memenuhi kualifikasi yang akan diproses lebih lanjutPT. Master Mat Indonesia tidak memungut apapun selama proses rekrutmen",Manajemen Brand (Pemasaran & Komunikasi)
Field Marketing Regional,PT Niaga Nusa Abadi,"Makassar, Sulawesi Selatan",Penuh waktu,,"Deskripsi pekerjaan:Melakukan monitoring dan kontrol atas seluruh aktivitas promosi yang berjalan di regional terkaitMelakukan review atas setiap usulan bottom up program pada area regional terkaitMemastikan program dapat berjalan sesuai dengan direction dan timeline yang ditetapkanMelakukan review / evaluasi serta memberikan insight atas pelaksanaan program marketing yang berada di regional terkaitMelakukan koordinasi dengan team marketing principalMembuat inisiasi/usulan program marketing yang efektif berjalan di wilayah regional terkait
Kualifikasi:Minimal pendidikan S1 semua jurusanMinimal pengalam 3 tahun sebagai Regional Marketing SUpervisor, Field Marketing Supervisor, Trade Marketing Supervisor di Industri Tobacco / FMCGMelakukan Marketing Strategy & Implementation (ATL, BTL), Trade Program, AC Nielsen, Communication SkillMemiliki kemampuan dalam menggunakan Microsoft Office, Social Media, Territory ManagementMelakukan Budgeting dan Reporting",Komunikasi Pemasaran (Pemasaran & Komunikasi)
Senior Sales Marketing,PT. PROMOSENTRAL INOVASI INDONESIA,"Jakarta Selatan, Jakarta Raya",Penuh waktu,,"PT Promosentral Inovasi Indonesia is a leader in the promotional merchandise industry offering quality premium corporate gifts. From its humble beginnings in the Philippines, it has grown to be one of the main sources of promotional merchandise in Jakarta and has established an office in Surabaya to cater to growing number of clients. In its expanding market and role as a full-service personalized marketing company, it is seeking passionate sales professionals to support our growing business in both Jakarta and Surabaya. To be a successful part of our team, you should be a self-starter and able to drive sales growth. Senior Sales Executives main responsibilities:Generate sales leads and meeting with prospective and existing clientsSetting sales goals and developing sales strategiesDemonstrating and presenting a diverse variety of productsPreparing and sending proposals, and representing the company on bidding activities Building and maintaining a CRM databaseMaintain sales performance and work towards quarterly and yearly targets QualificationsUniversity graduate in related field (communications, public relations, advertising, etc.)Relevant experience (1+) in marketing, advertising and procurementAble to communicate in Bahasa and EnglishWorking knowledge on MS office programs (word, excel and powerpoint)Domiciled in Jabodetabek Familiarity with manufacturers and suppliers a plus factor Key skillsSelf-motivated and target-drivenStrong communication skills (both verbal and written)Creative and resourcefulExcellent presentation and negotiating skills The position offers quick progression into senior and managerial position. Promosentral provides competitive remuneration package including commissions, standard benefits and other incentives",Perwakilan/Konsultan Penjualan (Penjualan)
Business Development,PT Pemindo Mitra Sinergi,"Yogyakarta, DI Yogyakarta",Penuh waktu,"Rp 2,000,000 – Rp 3,000,000 per month","TUGAS:Melakukan riset pasar mengenai produk yang dijalankanMencari lead customer baru dan menjaga relasi antar pelanggan/klienMenyusun rencana pengembangan bisnis perusahaanMelakukan riset perkembangan bisnis perusahaan secara berkalaMemahami produk perusahaan , kompetitor dan posisi bisnis di dlm marketBekerjasama dengan tim sales dan marketing untuk mendapatkan lead baruMengetahui produk knowledge dasar digital marketingBerkoordinasi dengan tim untuk pengembangan produk (marketing, sales, teknisi, PP dll)Melakukan kanvassing untuk pengembangan bisnis perusahaan KUALIFIKASI:(L) usia 22 - 35 tahunLulusan S1/D3/SMK di bidang Penjualan, Komunikasi Pemasaran, Bisnis, IT, Design, Politik dan Ilmu Sosial, Humas atau bidang terkait lainnya.Pengalaman minimal 1 tahun di bidang pemasaran produk IT lebih diprioritaskanMemiliki minat dan hobi di bidang IT, Gaming, atau TeknologiMampu mengoperasikan Microsoft Office, Excel dan Power Point Memiliki skill komunikasi yang baik dengan tim, klien, dan calon pelangganMampu bekerja dalam target, bernegosiasi, dan menganalisaBerpenampilan menarikBersedia bergabung secepatnyaPenempatan : Ruko DTA Square, Yogyakarta",Pengembangan Bisnis Baru (Penjualan)
Marketing & Marketplace Specialist,PT Akarsa Garment Indonesia,"Jakarta Barat, Jakarta Raya",Penuh waktu,Rp 4.000.000 – Rp 6.000.000 per month,"Deskripsi Pekerjaan:PIC semua akun market place AKARSA GroupMembuat strategi penjualan produk di market placeMencapai target penjualan dan target omsetMenjalankan aktivasi dan iklan di market placeOptimasi market place Kualifikasi:Minimal pendidikan D3 ilmu komunikasi / marketing atau sejenisanyaMinimal pengalaman 2 tahun di bidang marketing dan market place (ditunjukan dengan portofolio)Mampu membuat strategi penjualan produk apparel di market placeMampu menganalisa target marketMampu dan bertanggung jawab atas close order di market placeMampu membuat laporan penjualan harian, mingguan, dan bulananMampu bekerja di bawah tekananJujur, teliti, dan bertanggung jawab",Komunikasi Pemasaran (Pemasaran & Komunikasi)
Brand & Product Marketing Intern,PT Arya Noble,Jakarta Raya,Paruh waktu,,"Everything is here for you!Arya Noble is the brains behind Indonesia's leading beauty and wellness brands like Erha, Genero and Derma Xp.Here at Arya Noble, you will be involved in creating various masterpieces which contribute to filling the lives of our customers with excitement and hope. We offer #ExcitingJourney experiences where you can thrive in working environments that support both your personal and career growth so that every one of us will be prepared to lead a purposeful and successful life.Don’t miss the opportunity to begin your #ExcitingJourney by joining Arya Noble if you have the right passion and have the following criteria:Do you embrace your love and passion for the following activities?Prepare the materials needs for creative marketing collaterals such as visual social media posts, brochures, digital content., and other promotional needs like events and partnerships to support marketing activities.Coordinate with vendors/partnerships as marketing support to ensure compliance with the plan.Work closely with internal and external parties to achieve operational and business goals.Create 360-degree brand and product marketing preparation reports to evaluate and improve.Process all administrative needs in marketing operations to achieve operational excellence.Does it match your criteria?Final Years in Business Management, Marketing Communication, , or related field0 - 1 years working experience in related fieldStrong understanding of Brand ActivationHave ability in Social Media Management, KOL Management, Event Management, and Ms OfficeNow we'd love to see your talents and start your #ExcitingJourney by submit your profiles (CV).",Komunikasi Pemasaran (Pemasaran & Komunikasi)
HRIS Staff,PT Richeese Kuliner Indonesia ,"Bandung, Jawa Barat",Kontrak,,"Mengelola dan memastikan Sistem Informasi Sumber Daya Manusia (HRIS), bekerja dengan efisien Kualifikasi :- Pendidikan Min. D3 Sistem Informasi / Tehnik Informatika- Pengalaman Min. 1 Tahun di posisi yang sama atau di bidang IT Development- Memahami SQL Server, PHP framework, CSS, AngularJs1- Mengerti tentang Git Repository- Menguasai Ms. Office- Teliti- Penempatan Bandung",Pengembangan & Administrasi Database (Teknologi Informasi & Komunikasi)
IT Technical Support,PT Tempindo Jasatama (Divisi Jakarta Temp),Jakarta Raya,Kontrak,"Rp 6,000,000 – Rp 8,000,000 per month","Requirement :Bachelor Degree (Information Technology, Information Systems, Computer Science) with min 2 years of experience in Banking areaHaving good communication skills in EnglishAble to Install and Configure Hardware, Software, Network Systems, Printers and Telephones.Have the ability and understanding related to trouble shooting office standard IT devicesUnderstand about SQL, MySQL, Java,etc",Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi)
System Engineer,PT Dinamika Kreasi Teknologi (Jakarta),Jakarta Raya,Penuh waktu,,"Requirements:
Max 40 years old
Bachelor’s Degree or Diploma in any discipline
Min. 3 years of work experience in IT Infra system
Positive attitude, team-oriented, self-starter who can work alone and collaboratively to achieve team goals
Good written and communication skills
Having knowledge and experience of VMware includes Vcenter, Vsphere replication and SRM
Having knowledge and experience of Nutanix includes Nutanix Data Protection and ERA 
Having knowledge and experience of Server Hardware and SAN Storage
Having certification of VMware, Nutanix is an advantage
Having knowledge of AWS Cloud is an advantage
Having knowledge of Kubernetes is an advantageResponsibility:
Handling daily operations and housekeeping
Troubleshooting issues
Create reporting and conduct the presentation",Lainnya (Teknologi Informasi & Komunikasi)
IT DEVELOPER (ERP ODOO IMPLEMENTOR),PT Dynamic Advantage Partnerindo,"Jakarta Selatan, Jakarta Raya",Penuh waktu,,"We need IT Developer Staff to join our company :Requirements :Bachelor Degree (Computer Science / Computer Engineering), with a minimum GPA of 3.00Have 2 Years working experiences as IT Developer / IT ApplicationHave knowledge and experience with programming language ( Odoo, Python, Javascript, PHP, HTML, CSS, and Others Program will be an advantage)Technical Expertise (Reporting, IT Application, System and Procedure, Accounting, Software Development)Can work independently for one whole SDLC (one people handle one project)Strong logical and innovative thinking, troubleshooting skills and diagnostic intuition, able to assess the business needs and reflect the value into the product designResponsibility :Querying data in Odoo databaseCreate regulatory and ad-hoc reportsForm the data to XML or other formatsDevelop software applications required by CompanyMaintain and fix software, if neededCreate development documents",Developer/Programmer (Teknologi Informasi & Komunikasi)
Network and Infrastructure Manager,Pengiklan Privat,Jakarta Raya,Penuh waktu,,"Requirements:A minimum bachelor's degree in computer science, information technology, telecommunications, or equivalentminimum of 3 years of experience in managerial roles.Have a broad knowledge of IT solutions for telecommunications industries and large enterprises.Having good self-motivation, adaptation, communication, and negotiationCertified Network Associate (CCNA, JNCIA, MTCNA, HCNA, etc.) or preferably Certified Network Professional Level (CCNP, JNCIP, HCNP, MTCRE, etc.)ITIL certification will be an advantage. Job Desc:Develop strategies for the network services engineer team to support implementation activities.Review the technical competencies of the network services engineer team and manpower planning to support all running projects.Collaborate with internals to implement Network Services projects, including architectures and processes, aligning them with organizational goals.Help lead network engineers provide network solutions and support.Provide network design and traffic flow in the product design phase.Provide network configuration and support based on the network design and traffic flow provided in the design phase.Supporting other division activities when needed based on service requestsPerform configuration changes as needed as per business requirements.Establish and maintain active and constructive relationships with all internal IT infrastructure teams.",Teknik – Jaringan (Teknologi Informasi & Komunikasi)
DevOps Engineer,PT Informasi Teknologi Indonesia ,Jakarta Raya,Kontrak,,"ResponsibilitiesManage and maintain monitoring Apps ELK, Prometheus, GrafanaSetting up servers automation tools for deployments etc (Ansible, Jenkins, etc)Collaborate with others team about monitoring process.Manage and maintain container orchestration (k8s, swarm, etc)QualificationsBachelor Degree in Informatics Engineering/Information systems/other relevant IT majorsMin 1 year experience in DevOpsStrong understanding of Linux (CentOS and Ubuntu)Experience in installation, configuration and troubleshooting on Linux operating systems (cloud)Experience in docker and related automation tools (Ansible,Jenkins etc)Experience using monitoring tools Elastic Search, Prometheus, GrafanaExperience manage and monitoring container orchestrationExperience in docker , monitoring apps, automation tools, kubernetesFamiliar with cloud platformPolite, Good attitude and communication skillHard worker and able to work under pressure and meet deadlines in demanding situationJABODETABEK area and Willing to overtime if requiredAttention to detail and easily adapt to changing situation",Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi)
Helpdesk Monitoring (BSD Tangerang),PT Karya Solusi Prima Sejahtera ,"Tangerang, Banten",Kontrak,,"KualifikasiPendidikan diutamakan D3/S1 jurusan Teknik Telekomunikasi dan Teknik Informatika Kompetensi Nonteknis:Mampu berkomunikasi dengan baik dan ramahMampu berkomunikasi dengan baik secara verbal dan non verbalMemiliki Empati, Ramah dan mempunyai empati yang tinggiMampu bekerja dibawah tekananMampu mengendalikan emosiMemiliki kemampuan analisa tehadap masalahMemiliki kemampuan NegosiasiMampu memimpin sebuah team/group Kompetensi Teknis:Menguasai Bahasa Inggris secara lisan dan tulisanMemahami konsep OSI LayerKemampuan presentasiMemahami protocol komunikasi dataMemahami perangkat komunikai data",Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi)
IT SUPPORT,PT Halarag Baja Utama ,"Bogor, Jawa Barat",Penuh waktu,,"Tugas dan Tanggung Jawab :Mengatasi masalah terkait software maupun hardware serta jaringanMenindaklanjuti laporan permasalahan komputer serta kebutuhan dari user baik yang bersifat hardware maupun softwareMemonitor dan melakukan maintenance sistem dan jaringan komputerMemasang dan mengkonfigurasi hardware, software, sistem, jaringan, printer, scanner, cctv dan peralatan IT LainnyaMengelola dan memonitor VPN Password and UserMenguasai pemrograman web
Kualifikasi :Usia Maksimal 30 TahunPendidikan S1 Teknik Komputer Yang Diutamakan Mempunyai pengalaman minimal 2 tahun dibidangnyaMenguasai konfigurasi jaringan (LAN-WAN), instalasi server, sistem operasi : OS Windows, Linux, Mac OSMenguasai Jaringan MikrotikMenguasai Mail Server ZimbraDapat menjalin kerjasama yang baik dengan departemen lain terutama yang terkait dengan bidang pekerjaannya",Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi)
IT PROGRAMMER,Yayasan Terang Bagi Sejahtera Bangsa,"Semarang, Jawa Tengah",Kontrak,,"KualifikasiUmur maksimal 35 tahunGelar Sarjana (S1) Jurusan Teknologi Informatika, dengan minimal IPK 3.00Pengalaman Minimal 5 TahunMemproduksi kode menggunakan PHPMemiliki pengetahuan dalam HTML dan CSS merupakan nilai tambahMemiliki pengetahuan tentang javascript adalah nilai tambahMemiliki pengetahuan dalam database MySQL Server atau database lainnyaMemiliki pengetahuan mobile development (android studio)Domisili Semarang & sekitarnya",Developer/Programmer (Teknologi Informasi & Komunikasi)
